"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logSalePrice","GarageCars_f","pool_yn","porch_yn","Fence_f","WoodDeckSF_group","OpenPorchSF_group","EnclosedPorch_group","MiscVal_group","X2ndFlrSFDIV1st","TotalBath","BedroomAbvGr4plus","KitchenQual.Fac","KitchenQual.FacNum","TotRmsAbvGrd10plus","FireplaceY","GarageTypeY","GarageCars.Fac","GarageCars3plus","GarageCond.Fac","GarageCond.N","PavedDrive.Fac","PavedDriveY","MSSubClass_group","YearBuilt.b","YearRemodAdd.b","RoofStyleY","RoofMatl.n","Exterior1st.n","Exterior2nd.n","MasVnrType.n","MasVnrArea.b","ExterQual.n","ExterCond.n","Foundation.n","BsmtQual.n","BsmtCond.n","BsmtExposure.n","BsmtFinType1.n","BsmtFinSF1.b","BsmtFinType2.n","BsmtFinSF2.b","BsmtUnfSF.b","TotalBsmtSF.b","Heating.n","HeatingQC.n","CentralAir.n","Electrical.n"
"307",307,60,"RL",116,13474,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Feedr","Norm","1Fam","2Story",7,5,1990,1991,"Gable","CompShg","HdBoard","Plywood","BrkFace",246,"Gd","TA","CBlock","Gd","TA","No","ALQ",700,"Unf",0,0,700,"GasA","Gd","Y","SBrkr",1122,1121,0,2243,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1990,"RFn",3,746,"TA","TA","Y",127,44,224,0,0,0,NA,NA,NA,0,6,2007,"WD","Normal",225000,12.3238556811866,"3",0,0,NA,"100-200SF","0-50SF","> 200SF","$0-$200",0.999108734402852,2.5,4,"Gd",3,8,1,1,"3",4,"TA",3,"Y",1,"30-60",3,4,1,2,7,11,2,1,3,3,2,4,3,1,5,3,1,0,0,3,2,4,1,5
"308",308,50,"RM",NA,7920,"Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","IDOTRR","Artery","Norm","1Fam","1.5Fin",6,7,1920,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","CBlock","TA","TA","No","Unf",0,"Unf",0,319,319,"GasA","TA","Y","FuseA",1035,371,0,1406,0,0,1,0,3,1,"Fa",6,"Typ",0,NA,"Detchd",NA,NA,0,0,NA,"TA","N",0,144,0,0,0,0,NA,"MnPrv",NA,0,3,2008,"WD","Normal",89500,11.4019939042629,"0",0,0,"MnPrv","0-100SF","100-150SF","0-50SF","$0-$200",0.358454106280193,1,3,"Fa",1,6,0,0,"0",1,"TA",3,"N",0,"30-60",1,0,1,2,9,9,3,0,2,2,2,3,3,1,1,0,1,0,2,2,2,3,1,4
"309",309,30,"RL",NA,12342,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1940,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",262,"Unf",0,599,861,"GasA","Ex","Y","SBrkr",861,0,0,861,0,0,1,0,1,1,"TA",4,"Typ",0,NA,"Detchd",1961,"Unf",2,539,"TA","TA","Y",158,0,0,0,0,0,NA,NA,NA,0,3,2009,"WD","Normal",82500,11.3205535723228,"2",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,1,1,"TA",2,4,0,0,"2",3,"TA",3,"Y",1,"0-30",2,0,1,2,13,14,3,0,2,3,2,3,3,1,4,2,1,0,3,4,2,5,1,5
"310",310,20,"RL",90,12378,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1274,"Unf",0,622,1896,"GasA","Ex","Y","SBrkr",1944,0,0,1944,1,0,2,0,3,1,"Ex",8,"Typ",3,"Ex","Attchd",2003,"Fin",3,708,"TA","TA","Y",208,175,0,0,0,0,NA,NA,NA,0,11,2006,"WD","Normal",360000,12.7938593104323,"3",0,0,NA,"200-300SF","150-200SF","0-50SF","$0-$200",0,2,3,"Ex",4,8,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,3,0,3,3,3,5,3,4,6,6,1,0,3,8,2,5,1,5
"311",311,60,"RL",NA,7685,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","BrkFace",112,"TA","TA","PConc","Gd","TA","No","ALQ",518,"Unf",0,179,697,"GasA","Gd","Y","SBrkr",697,804,0,1501,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",1993,"Fin",2,420,"TA","TA","Y",190,63,0,0,0,0,NA,NA,NA,0,5,2006,"WD","Normal",165600,12.0173305209333,"2",0,0,NA,"100-200SF","50-100SF","0-50SF","$0-$200",1.15351506456241,2.5,3,"Gd",3,6,1,1,"2",3,"TA",3,"Y",1,"30-60",4,4,1,2,7,7,2,1,2,3,3,4,3,1,5,3,1,0,1,3,2,4,1,5
"312",312,20,"RL",50,8000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1948,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",680,"Unf",0,292,972,"GasA","Ex","Y","SBrkr",972,0,0,972,1,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1948,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,5,2009,"WD","Normal",132000,11.7905572015685,"1",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,1,2,"TA",2,5,1,0,"1",2,"TA",3,"Y",1,"0-30",2,5,1,2,13,14,3,0,2,4,2,3,3,1,5,3,1,0,2,4,2,5,1,5
"313",313,190,"RM",65,7800,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","2fmCon","1.5Fin",5,7,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Mn","Rec",507,"Unf",0,286,793,"GasA","TA","Y","SBrkr",793,325,0,1118,1,0,1,0,3,1,"TA",5,"Typ",1,"Gd","Detchd",1939,"Unf",2,410,"TA","TA","Y",0,0,0,0,271,0,NA,"MnPrv",NA,0,5,2006,"WD","Normal",119900,11.6944133410156,"2",0,0,"MnPrv","0-100SF","0-50SF","0-50SF","$0-$200",0.409836065573771,1,3,"TA",2,5,1,0,"2",3,"TA",3,"Y",1,"90-200",2,0,1,2,9,9,3,0,2,3,2,4,3,2,3,3,1,0,2,4,2,3,1,5
"314",314,20,"RL",150,215245,"Pave",NA,"IR3","Low","AllPub","Inside","Sev","Timber","Norm","Norm","1Fam","1Story",7,5,1965,1965,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1236,"Rec",820,80,2136,"GasW","TA","Y","SBrkr",2036,0,0,2036,2,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd",1965,"RFn",2,513,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2009,"WD","Normal",375000,12.8346813049525,"2",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,2,3,"TA",2,8,1,1,"2",3,"TA",3,"Y",1,"0-30",3,1,1,2,4,4,3,0,2,3,2,4,3,4,5,5,3,4,1,9,3,3,1,5
"315",315,70,"RM",60,9600,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",7,7,1925,1990,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Gd","No","LwQ",16,"Unf",0,712,728,"GasA","Ex","Y","SBrkr",832,809,0,1641,0,1,1,1,3,1,"Ex",6,"Typ",1,"Gd","Detchd",1925,"Unf",2,546,"Fa","TA","Y",0,0,234,0,0,0,NA,NA,NA,0,8,2006,"WD","Normal",178000,12.0895388292742,"2",0,0,NA,"0-100SF","0-50SF","> 200SF","$0-$200",0.972355769230769,1.5,3,"Ex",4,6,1,0,"2",3,"TA",3,"Y",1,"60-90",1,3,1,2,14,15,3,0,2,3,1,3,4,1,2,1,1,0,3,3,2,5,1,5
"316",316,60,"RL",71,7795,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",425,"Unf",0,291,716,"GasA","Ex","Y","SBrkr",716,716,0,1432,1,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"Fin",2,432,"TA","TA","Y",100,51,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal",188500,12.1468532858702,"2",0,0,NA,"0-100SF","50-100SF","0-50SF","$0-$200",1,2.5,3,"Gd",3,6,1,1,"2",3,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,3,0,3,3,3,4,3,1,6,2,1,0,2,3,2,5,1,5
"317",317,60,"RL",94,13005,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","2Story",7,7,1980,1980,"Gable","CompShg","CemntBd","CmentBd","BrkFace",278,"Gd","TA","CBlock","Gd","TA","No","GLQ",692,"Unf",0,153,845,"GasA","TA","Y","SBrkr",1153,1200,0,2353,1,0,2,1,4,1,"Ex",10,"Typ",1,"TA","Attchd",1983,"RFn",2,484,"TA","TA","Y",288,195,0,0,0,0,NA,"GdPrv",NA,0,8,2009,"WD","Normal",260000,12.4684369099977,"2",0,0,"GdPrv","200-300SF","150-200SF","0-50SF","$0-$200",1.040763226366,2.5,4,"Ex",4,10,1,1,"2",3,"TA",3,"Y",1,"30-60",3,2,1,2,6,6,2,1,3,3,2,4,3,1,6,3,1,0,1,4,2,3,1,5
"318",318,60,"FV",75,9000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1088,1088,"GasA","Ex","Y","SBrkr",1088,871,0,1959,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2006,"RFn",3,1025,"TA","TA","Y",208,46,0,0,0,0,NA,NA,NA,0,12,2007,"WD","Normal",270000,12.5061772379805,"3",0,0,NA,"200-300SF","0-50SF","0-50SF","$0-$200",0.800551470588235,2.5,3,"Gd",3,8,1,1,"3",4,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,3,0,3,3,3,4,3,3,1,0,1,0,5,5,2,5,1,5
"319",319,60,"RL",90,9900,"Pave",NA,"Reg","Low","AllPub","Inside","Mod","NoRidge","Norm","Norm","1Fam","2Story",7,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",256,"Gd","TA","PConc","Gd","TA","Gd","GLQ",987,"Unf",0,360,1347,"GasA","Ex","Y","SBrkr",1372,1274,0,2646,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"RFn",3,656,"TA","TA","Y",340,60,144,0,0,0,NA,NA,NA,0,4,2009,"WD","Normal",260000,12.4684369099977,"3",0,0,NA,"300-400SF","50-100SF","100-150SF","$0-$200",0.928571428571429,2.5,4,"Gd",3,9,1,1,"3",4,"TA",3,"Y",1,"30-60",4,4,1,2,7,7,2,1,3,3,3,4,3,4,6,4,1,0,2,6,2,5,1,5
"320",320,80,"RL",NA,14115,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SLvl",7,5,1980,1980,"Gable","CompShg","Plywood","Plywood","BrkFace",225,"TA","TA","CBlock","Gd","TA","Av","GLQ",1036,"Unf",0,336,1372,"GasA","TA","Y","SBrkr",1472,0,0,1472,1,0,2,0,3,1,"TA",6,"Typ",2,"TA","Attchd",1980,"Unf",2,588,"TA","TA","Y",233,48,0,0,0,0,NA,NA,NA,0,6,2009,"WD","Normal",187500,12.1415341243926,"2",0,0,NA,"200-300SF","0-50SF","0-50SF","$0-$200",0,2,3,"TA",2,6,1,1,"2",3,"TA",3,"Y",1,"60-90",3,2,1,2,10,11,2,1,2,3,2,4,3,3,6,5,1,0,2,6,2,3,1,5
"321",321,60,"RL",111,16259,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",370,"TA","TA","PConc","Ex","Gd","Av","Unf",0,"Unf",0,1249,1249,"GasA","Ex","Y","SBrkr",1249,1347,0,2596,0,0,3,1,4,1,"Gd",9,"Typ",0,NA,"Attchd",2006,"RFn",3,840,"TA","TA","Y",240,154,0,0,0,0,NA,NA,NA,0,9,2006,"New","Partial",342643,12.7444443677961,"3",0,0,NA,"200-300SF","150-200SF","0-50SF","$0-$200",1.07846277021617,3.5,4,"Gd",3,9,0,1,"3",4,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,4,2,2,3,3,5,4,3,1,0,1,0,5,5,2,5,1,5
"322",322,60,"RL",99,12099,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",388,"Gd","TA","PConc","Ex","TA","Av","GLQ",970,"Unf",0,166,1136,"GasA","Ex","Y","SBrkr",1136,1332,0,2468,1,0,2,1,4,1,"Gd",10,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,872,"TA","TA","Y",184,154,0,0,0,0,NA,NA,NA,0,6,2007,"WD","Normal",354000,12.7770521921159,"3",0,0,NA,"100-200SF","150-200SF","0-50SF","$0-$200",1.17253521126761,2.5,4,"Gd",3,10,1,1,"3",4,"TA",3,"Y",1,"30-60",4,5,1,2,13,14,2,2,3,3,3,5,3,3,6,4,1,0,1,5,2,5,1,5
"323",323,60,"RL",86,10380,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1986,1987,"Gable","CompShg","Plywood","Plywood","BrkFace",172,"Gd","TA","CBlock","TA","TA","Gd","LwQ",28,"ALQ",1474,0,1502,"GasA","Ex","Y","SBrkr",1553,1177,0,2730,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1987,"Fin",2,576,"TA","TA","Y",201,96,0,0,0,0,NA,"MnPrv",NA,0,8,2007,"WD","Normal",301000,12.614865543731,"2",0,0,"MnPrv","200-300SF","50-100SF","0-50SF","$0-$200",0.75788795878944,2.5,4,"Gd",3,8,1,1,"2",3,"TA",3,"Y",1,"30-60",3,3,1,2,10,11,2,1,3,3,2,3,3,4,2,1,5,6,0,7,2,5,1,5
"324",324,20,"RM",49,5820,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",3,8,1955,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",256,"Unf",0,906,1162,"GasA","Ex","Y","SBrkr",1163,0,0,1163,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1955,"Unf",1,220,"Fa","TA","Y",142,98,0,0,0,0,NA,NA,NA,0,7,2006,"WD","Normal",126175,11.7454251112085,"1",0,0,NA,"100-200SF","50-100SF","0-50SF","$0-$200",0,1,3,"TA",2,6,0,1,"1",2,"TA",3,"Y",1,"0-30",2,5,1,2,13,14,3,0,2,4,2,3,3,1,5,2,1,0,4,5,2,5,1,5
"325",325,80,"RL",96,11275,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","PosN","Norm","1Fam","SLvl",7,7,1967,2007,"Mansard","WdShake","Wd Sdng","Wd Sdng","BrkFace",300,"Gd","Gd","CBlock","Gd","TA","No","Unf",0,"Unf",0,710,710,"GasA","Ex","Y","SBrkr",1898,1080,0,2978,0,0,2,1,5,1,"Gd",11,"Typ",1,"Gd","BuiltIn",1961,"Fin",2,564,"TA","TA","Y",240,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal",242000,12.3966930051388,"2",0,0,NA,"200-300SF","0-50SF","0-50SF","$0-$200",0.569020021074816,2.5,4,"Gd",3,10,1,1,"2",3,"TA",3,"Y",1,"60-90",3,5,0,7,14,15,2,1,3,4,2,4,3,1,1,0,1,0,3,3,2,5,1,5
"326",326,45,"RM",50,5000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","RRAe","Norm","1Fam","1.5Unf",5,6,1941,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",116,"Unf",0,604,720,"GasA","Po","N","FuseF",803,0,0,803,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1941,"Unf",2,360,"TA","TA","Y",0,0,244,0,0,0,NA,NA,NA,0,12,2007,"WD","Normal",87000,11.3736633976367,"2",0,0,NA,"0-100SF","0-50SF","> 200SF","$0-$200",0,1,2,"TA",2,5,0,0,"2",3,"TA",3,"Y",1,"30-60",2,0,1,2,9,9,3,0,2,3,2,3,3,3,4,1,1,0,3,3,2,1,0,3
"327",327,120,"RL",32,10846,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Veenker","Norm","Norm","TwnhsE","1Story",8,5,1993,1993,"Gable","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1619,"Unf",0,100,1719,"GasA","Ex","Y","SBrkr",1719,0,0,1719,2,0,1,1,1,1,"Gd",6,"Typ",2,"Gd","Attchd",1993,"Fin",2,473,"TA","TA","Y",122,30,0,0,0,0,NA,NA,NA,0,5,2008,"Con","Normal",324000,12.6884987947745,"2",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,1.5,1,"Gd",3,6,1,1,"2",3,"TA",3,"Y",1,"90-200",4,4,1,2,4,4,3,0,3,3,3,4,3,4,6,7,1,0,1,7,2,5,1,5
"328",328,20,"RL",80,11600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",175,"TA","TA","CBlock","TA","TA","No","Rec",565,"Unf",0,818,1383,"GasA","TA","Y","SBrkr",1383,0,0,1383,0,0,1,1,3,1,"TA",7,"Typ",0,NA,"Attchd",1960,"RFn",1,292,"TA","TA","Y",0,45,0,0,0,0,NA,NA,NA,0,4,2006,"WD","Normal",145250,11.8862116747142,"1",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,1.5,3,"TA",2,7,0,1,"1",2,"TA",3,"Y",1,"0-30",2,0,1,2,14,15,2,1,2,3,2,3,3,1,3,3,1,0,4,6,2,3,1,5
"329",329,75,"RL",NA,11888,"Pave","Pave","IR1","Bnk","AllPub","Inside","Gtl","BrkSide","PosN","Norm","1Fam","2.5Unf",6,6,1916,1994,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,844,844,"GasA","Gd","N","FuseA",1445,689,0,2134,0,0,2,0,5,1,"Gd",10,"Typ",0,NA,"Detchd",1930,"Unf",2,441,"TA","TA","Y",0,60,268,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal",214500,12.2760650173502,"2",0,0,NA,"0-100SF","50-100SF","> 200SF","$0-$200",0.47681660899654,2,4,"Gd",3,10,0,0,"2",3,"TA",3,"Y",1,"60-90",1,4,1,2,14,16,3,0,2,3,1,3,3,1,1,0,1,0,4,4,2,4,0,4
"330",330,70,"RM",60,6402,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","Mn","Unf",0,"Unf",0,596,596,"GasA","TA","N","SBrkr",596,596,0,1192,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,189,"Fa","Fa","N",0,0,137,0,0,0,NA,"GdWo",NA,0,7,2009,"WD","Normal",78000,11.2644641056717,"1",0,0,"GdWo","0-100SF","0-50SF","100-150SF","$0-$200",1,1,3,"TA",2,6,0,0,"1",2,"Fa",2,"N",0,"60-90",1,0,1,2,14,16,3,0,2,3,3,3,3,2,1,0,1,0,3,3,2,3,0,5
"331",331,90,"RL",NA,10624,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,4,1964,1964,"Gable","CompShg","HdBoard","HdBoard","BrkFace",84,"TA","TA","CBlock","TA","TA","No","GLQ",40,"Rec",264,1424,1728,"GasA","TA","Y","SBrkr",1728,0,0,1728,0,1,2,0,6,2,"TA",10,"Typ",0,NA,"Detchd",2002,"Unf",1,352,"TA","TA","Y",155,0,0,0,0,0,NA,NA,NA,0,11,2007,"WD","Normal",119000,11.6868787720937,"1",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,2,4,"TA",2,10,0,0,"1",2,"TA",3,"Y",1,"60-90",3,1,1,2,7,7,2,1,2,3,2,3,3,1,6,1,3,2,6,7,2,3,1,5
"332",332,20,"RL",70,8176,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1992,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",846,"Unf",0,210,1056,"GasA","Fa","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1958,"RFn",1,308,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal",139000,11.8422292121128,"1",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,1,3,"TA",2,6,0,1,"1",2,"TA",3,"Y",1,"0-30",2,4,1,2,14,15,3,0,2,3,2,3,3,1,3,4,1,0,1,5,2,2,1,5
"333",333,20,"RL",85,10655,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",296,"Gd","TA","PConc","Gd","TA","No","GLQ",1124,NA,479,1603,3206,"GasA","Ex","Y","SBrkr",1629,0,0,1629,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2003,"RFn",3,880,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,10,2009,"WD","Normal",284000,12.5567295171433,"3",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0,2,3,"Gd",3,7,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,2,1,3,3,3,4,3,1,6,5,0,2,7,13,2,5,1,5
"334",334,120,"RM",59,8198,"Pave",NA,"Reg","Lvl","AllPub","FR3","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",146,"Gd","TA","PConc","Gd","TA","Av","GLQ",720,"Unf",0,638,1358,"GasA","Ex","Y","SBrkr",1358,0,0,1358,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"RFn",2,484,"TA","TA","Y",192,30,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",207000,12.2404740722475,"2",0,0,NA,"100-200SF","0-50SF","0-50SF","$0-$200",0,2,2,"Gd",3,6,1,1,"2",3,"TA",3,"Y",1,"90-200",4,5,1,2,13,14,4,1,3,3,3,4,3,3,6,3,1,0,3,6,2,5,1,5
"335",335,60,"RL",59,9042,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",828,"Unf",0,115,943,"GasA","Gd","Y","SBrkr",943,695,0,1638,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1998,"Fin",2,472,"TA","TA","Y",100,38,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",192000,12.1652506510099,"2",0,0,NA,"0-100SF","0-50SF","0-50SF","$0-$200",0.737009544008484,2.5,3,"TA",2,7,1,1,"2",3,"TA",3,"Y",1,"30-60",4,4,1,2,13,14,3,0,2,3,3,4,3,4,6,4,1,0,1,4,2,4,1,5
"336",336,190,"RL",NA,164660,"Grvl",NA,"IR1","HLS","AllPub","Corner","Sev","Timber","Norm","Norm","2fmCon","1.5Fin",5,6,1965,1965,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Gd","ALQ",1249,"BLQ",147,103,1499,"GasA","Ex","Y","SBrkr",1619,167,0,1786,2,0,2,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1965,"Fin",2,529,"TA","TA","Y",670,0,0,0,0,0,NA,NA,"Shed",700,8,2008,"WD","Normal",228950,12.3412589180852,"2",0,0,NA,"> 400SF","0-50SF","0-50SF","$600-$800",0.103150092649784,2,3,"TA",2,7,1,1,"2",3,"TA",3,"Y",1,"90-200",3,1,1,2,10,11,3,0,2,3,2,3,3,4,5,5,4,1,1,6,2,5,1,5
"337",337,20,"RL",86,14157,"Pave",NA,"IR1","HLS","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",9,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1249,"Unf",0,673,1922,"GasA","Ex","Y","SBrkr",1922,0,0,1922,1,0,2,0,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,676,"TA","TA","Y",178,51,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal",377426,12.8411298019654,"3",0,0,NA,"100-200SF","50-100SF","0-50SF","$0-$200",0,2,3,"Gd",3,8,1,1,"3",4,"TA",3,"Y",1,"0-30",4,5,1,2,13,14,4,1,3,3,3,5,3,4,6,5,1,0,3,8,2,5,1,5
